3125,1.1250
1.06125,1.1250,1.0625,-1.3125,1.1250
1.0625,-1.3125,1.1250,1.0625,-1.3125,1.1250
1.0625,-1.3125,1.1250,1.0625,-1.3125,1.1250
1.06125,1.1250,1.0625,-1.3125,1.1250
1.0625,-1.3125,1.1250,1.0625,-1.3125,1.1250
1.0625,-1.3125,1.1250,1.0625,-1.3125,1.1250
1.06125,1.1250,1.0625,-1.3125,1.1250
1.0625,-1.3125,1.1250,1.0625,-1.3125,1.1250
1.0625,-1.3125,1.1250,1.0625,-1.3125,1.1250
1.06Orientation Sensor Test

0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.3750,1.2500,359.8750,-1.3750,1.2500
359.8750,-1.3750,1.2500,359.8750,-1.3750,1.2500
359.8750,-1.3750,1.2500,359.8750,-1.3750,1.2500
359.8750,-1.3750,1.2500,359.8750,-1.3750,1.2500
359.8750,-1.3750,1.2500,359.8750,-1.3750,1.2500
359.8750,-1.3125,1.2500,359.8750,-1.3125,1.2500
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
359.8750,-1.2500,1.1875,359.8750,-1.2500,1.1875
